stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
AIX-21576,21576,Violette,Violette,43.534828,5.451224,,,0,,,0,,
AIX-23754,23754,Violette,Violette,43.534645,5.451244,,,0,,,0,,
AIX-20491,20491,Vives,Vives,43.532848,5.412794,,,0,,,0,,
AIX-24046,24046,Vives,Vives,43.532848,5.412917,,,0,,,0,,
AIX-21577,21577,Vivien,Vivien,43.528206,5.404968,,,0,,,0,,
AIX-24588,24588,Vivien,Vivien,43.528049,5.405155,,,0,,,0,,
AIX-20372,20372,Zola,Zola,43.532913,5.455163,,,0,,,0,,
AIX-24833,24833,Zola,Zola,43.53289,5.454836,,,0,,,0,,
AIX-22985,22985,Zone Artisanale,Zone Artisanale,43.493267,5.369081,,,0,,,0,,
AIX-25036,25036,Zone Artisanale,Zone Artisanale,43.493092,5.369349,,,0,,,0,,
