shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
040057,43.493267,5.369081,35,
040057,43.490902,5.37264,36,
040060,43.490902,5.37264,1,
040060,43.493092,5.369349,2,
040060,43.497284,5.369411,3,
040060,43.50074,5.381833,4,
040060,43.502293,5.390607,5,
040060,43.502327,5.39097,6,
040060,43.504333,5.394771,7,
040060,43.507656,5.417286,8,
040060,43.507999,5.423786,9,
040060,43.509823,5.435396,10,
040060,43.513012,5.437216,11,
040060,43.515575,5.434917,12,
040060,43.516659,5.435024,13,
040060,43.517075,5.435406,14,
040060,43.517086,5.437229,15,
040060,43.517689,5.439083,16,
040060,43.518921,5.441692,17,
040060,43.519749,5.442779,18,
040060,43.5238,5.44287,19,
040060,43.525681,5.44492,20,
040060,43.523891,5.447196,21,
040060,43.52314,5.448737,22,
040060,43.522053,5.452162,23,
040060,43.521286,5.454342,24,
040060,43.5196,5.45644,25,
040060,43.517982,5.459007,26,
040060,43.517555,5.459831,27,
040060,43.5159,5.461181,28,
040060,43.51413,5.462298,29,
040060,43.514362,5.464199,30,
040060,43.515991,5.466718,31,
040060,43.515415,5.468589,32,
040060,43.514984,5.470619,33,
040060,43.515957,5.471626,34,
050090,43.513248,5.428537,1,
050090,43.513908,5.430167,2,
050090,43.514542,5.432755,3,
050090,43.515575,5.434917,4,
050090,43.516659,5.435024,5,
050090,43.519855,5.432166,6,
050090,43.520321,5.431332,7,
050090,43.520435,5.429705,8,
050090,43.522755,5.430126,9,
050090,43.52404,5.431312,10,
050090,43.52393,5.43393,11,
050090,43.52346,5.43849,12,
050090,43.5238,5.44287,13,
050090,43.525681,5.44492,14,
050090,43.523891,5.447196,15,
050090,43.523949,5.449867,16,
050090,43.525112,5.454585,17,
050090,43.528027,5.45519,18,
050090,43.529354,5.453794,19,
050090,43.531696,5.451636,20,
050090,43.534645,5.451244,21,
050090,43.536896,5.452843,22,
050090,43.53894,5.449824,23,
050090,43.539772,5.44774,24,
050090,43.539909,5.446025,25,
050090,43.542149,5.445643,26,
050090,43.544983,5.445319,27,
050090,43.547127,5.445478,28,
050090,43.54734,5.442643,29,
050090,43.547371,5.439432,30,
050091,43.507801,5.38675,1,
050091,43.508717,5.389625,2,
050091,43.50914,5.392303,3,
050091,43.504333,5.394771,4,
050091,43.507294,5.400858,5,
050091,43.508068,5.406247,6,
050091,43.508175,5.408162,7,
050091,43.510639,5.409861,8,
050091,43.510464,5.414814,9,
050091,43.511909,5.421708,10,
050091,43.513248,5.428537,11,
050091,43.513908,5.430167,12,
050091,43.514542,5.432755,13,
050091,43.515575,5.434917,14,
050091,43.516659,5.435024,15,
050091,43.519855,5.432166,16,
050091,43.520321,5.431332,17,
050091,43.520435,5.429705,18,
050091,43.522755,5.430126,19,
050091,43.52404,5.431312,20,
050091,43.52393,5.43393,21,
050091,43.52346,5.43849,22,
050091,43.5238,5.44287,23,
050091,43.525681,5.44492,24,
050091,43.523891,5.447196,25,
050091,43.523949,5.449867,26,
050091,43.525112,5.454585,27,
050091,43.528027,5.45519,28,
050091,43.529354,5.453794,29,
050091,43.531696,5.451636,30,
050091,43.534645,5.451244,31,
050091,43.536896,5.452843,32,
050091,43.53894,5.449824,33,
050091,43.539772,5.44774,34,
050091,43.539909,5.446025,35,
050091,43.542149,5.445643,36,
050091,43.544983,5.445319,37,
050091,43.547127,5.445478,38,
050091,43.54734,5.442643,39,
050091,43.547371,5.439432,40,
050092,43.547371,5.439432,1,
050092,43.547363,5.442791,2,
050092,43.547279,5.445415,3,
050092,43.544823,5.445282,4,
050092,43.542141,5.445532,5,
050092,43.539856,5.445938,6,
050092,43.539703,5.447765,7,
050092,43.538902,5.449646,8,
050092,43.537109,5.452814,9,
050092,43.534828,5.451224,10,
050092,43.53265,5.448878,11,
050092,43.532204,5.445223,12,
050092,43.531307,5.441679,13,
050092,43.530766,5.439666,14,
050092,43.528625,5.440062,15,
050092,43.527966,5.44154,16,
050092,43.52663,5.444524,17,
050092,43.52367,5.44266,18,
050092,43.5242,5.43303,19,
050092,43.524078,5.431244,20,
050092,43.522724,5.429957,21,
050092,43.520218,5.429736,22,
050092,43.520317,5.43148,23,
050092,43.51926,5.432504,24,
050092,43.517075,5.435406,25,
050092,43.515537,5.434653,26,
050092,43.514355,5.431868,27,
050092,43.514072,5.430567,28,
050092,43.513092,5.428077,29,
